prefijo3,n_tickers,vol_total
EMC,3,18196202.18
LDC,1,9299259.5
BGC,1,7148072.0
OTS,5,5699590.51
GYC,4,3404961.36
LIC,1,1274138.2
TSC,4,130651.0
NPC,1,75194.38
LUC,5,53503.77
OT4,1,34560.08
AER,9,20054.4
VBC,2,13361.39
CLI,1,649.5
RVS,1,62.82
PHC,1,0.0
VAC,1,0.0
VA1,3,0.0
PUC,1,0.0
RAC,2,0.0
ROC,1,0.0
MU3,4,0.0
SIC,1,0.0
SPC,3,0.0
STC,1,0.0
TE5,1,0.0
NLC,9,0.0
AEC,3,0.0
MJC,1,0.0
MCC,3,0.0
AU1,1,0.0
BAC,4,0.0
C13,1,0.0
CLS,1,0.0
CVS,2,0.0
DF1,2,0.0
DFS,1,0.0
DI2,4,0.0
DIC,2,0.0
FO4,1,0.0
FPC,1,0.0
FTN,2,0.0
FYC,1,0.0
HVS,1,0.0
JNC,1,0.0
YCA,2,0.0
